exercise_progression_metric_map_id,exercise_id,metric,priority_rank,use_case,confidence_rating
epm_00331,ex_hanging_leg_raise,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00332,ex_hanging_leg_raise,load,2,supporting_context_or_tie_breaker,low
epm_00333,ex_hanging_leg_raise,repetitions,3,supporting_context_or_tie_breaker,low
epm_00334,ex_hanging_leg_raise,rir,4,supporting_context_or_tie_breaker,low
epm_00335,ex_hanging_leg_raise,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00336,ex_hanging_leg_raise,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00337,ex_ab_wheel,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00338,ex_ab_wheel,load,2,supporting_context_or_tie_breaker,low
epm_00339,ex_ab_wheel,repetitions,3,supporting_context_or_tie_breaker,low
epm_00340,ex_ab_wheel,rir,4,supporting_context_or_tie_breaker,low
epm_00341,ex_ab_wheel,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00342,ex_ab_wheel,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00343,ex_pallof_press,duration_or_leverage_quality,1,primary_progression_decision,moderate
epm_00344,ex_pallof_press,load,2,supporting_context_or_tie_breaker,low
epm_00345,ex_pallof_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00346,ex_pallof_press,rir,4,supporting_context_or_tie_breaker,low
epm_00347,ex_pallof_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00348,ex_pallof_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00349,ex_side_plank,duration_or_leverage_quality,1,primary_progression_decision,moderate
epm_00350,ex_side_plank,load,2,supporting_context_or_tie_breaker,low
epm_00351,ex_side_plank,repetitions,3,supporting_context_or_tie_breaker,low
epm_00352,ex_side_plank,rir,4,supporting_context_or_tie_breaker,low
epm_00353,ex_side_plank,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00354,ex_side_plank,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00355,ex_neck_flexion,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00356,ex_neck_flexion,load,2,supporting_context_or_tie_breaker,low
epm_00357,ex_neck_flexion,repetitions,3,supporting_context_or_tie_breaker,low
epm_00358,ex_neck_flexion,rir,4,supporting_context_or_tie_breaker,low
epm_00359,ex_neck_flexion,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00360,ex_neck_flexion,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00361,ex_neck_extension,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00362,ex_neck_extension,load,2,supporting_context_or_tie_breaker,low
epm_00363,ex_neck_extension,repetitions,3,supporting_context_or_tie_breaker,low
epm_00364,ex_neck_extension,rir,4,supporting_context_or_tie_breaker,low
epm_00365,ex_neck_extension,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00366,ex_neck_extension,technique_quality,6,supporting_context_or_tie_breaker,low
